e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,c,b,k,f,f,c,b,k,e,h,h,j,d,d,c,b
1241,1663,1819,1995,2175,2353,2477,2581,2665,2801,2953,3069,3177,3289,3385,3487,3567,3693,3853,3973,4081,4193,4291,4395,4515,4627,4709,4851,5023,5191,5319,5419,5535,5653,5733,5867,6023,6143,6251,6335,6471,6649,6765,6861,6967,7093,7205,7289,7487,7637,7765,7871,7991,8087,8193,8275,8415,8589,8667,8807,8953,9087,9213,9293,9447,9687,9827,9993,10119,10221,10343,10459,10539
1285,1693,1847,2025,2215,2389,2549,2647,2715,2873,3023,3143,3245,3345,3441,3551,3623,3767,3925,4049,4149,4251,4347,4491,4599,4697,4759,4923,5073,5243,5375,5513,5619,5715,5785,5943,6095,6215,6317,6387,6541,6709,6823,6917,7063,7177,7271,7343,7559,7711,7835,7937,8049,8141,8255,8325,8489,8651,8723,8877,9025,9159,9279,9345,9521,9731,9879,10045,10175,10319,10427,10527,10591
