e,h,e,h,f,c,b,k,h,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,f,d,d,c,b,h,e,c,b,k,f,f,c,b,k,f,f,c,b,k,f,f,c,b,k,f,f,h,h,f,f,c,b,k,f,f,c,b,k,e
1483,1627,1789,1979,2151,2255,2335,2485,2777,3053,3259,3399,3615,3785,3917,4057,4163,4247,4367,4527,4663,4771,4883,4979,5085,5207,5321,5401,5529,5727,5921,6111,6267,6389,6497,6613,6703,6813,6889,7023,7181,7311,7419,7533,7633,7751,7861,7977,8057,8563,8751,8937,9095,9217,9325,9437,9533,9645,9765,9877,9959,10105,10261,10391,10495,10615,10711,10819,10941,11053,11133,11749,11931,12027,12109,12231,12383,12515,12621,12705,12825,12999,13137,13245,13329,13461,13615,13737,13851,13935,14063,14219,14345,14637,14805,14939,15061,15173,15259,15389,15551,15685,15789,15879,16017,16657
1541,1669,1855,2025,2223,2295,2381,2551,2827,3095,3293,3451,3685,3847,3971,4131,4231,4299,4445,4601,4739,4843,4943,5037,5183,5293,5385,5453,5603,5775,6045,6185,6341,6465,6563,6669,6761,6871,6941,7107,7259,7387,7489,7593,7689,7841,7953,8043,8103,8613,8847,9013,9173,9291,9401,9503,9597,9745,9849,9945,10015,10183,10337,10465,10573,10679,10775,10919,11031,11119,11189,11793,11975,12089,12151,12307,12457,12591,12687,12751,12905,13077,13215,13315,13383,13539,13691,13817,13919,13987,14143,14295,14425,14691,14857,15019,15141,15243,15311,15467,15627,15763,15859,15935,16093,16683
