h,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,h,h,e,h,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,h,f,c,g,j,c,b,k,f,f,f,c,b,k,f,c,g,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,c,b,k,h,k,j,d,d,c,b
1673,1827,1995,2131,2295,2433,2539,2617,2763,2915,3035,3147,3263,3353,3459,3583,3693,3771,3903,4113,4297,4429,4569,4673,4793,4887,4987,5107,5227,5307,5613,5779,5933,6061,6195,6301,6425,6519,6627,6749,6863,6943,7083,7265,7473,7607,7753,7873,7983,8097,8195,8299,8423,8537,8619,9143,9441,9571,9681,9797,9893,9999,10081,10215,10363,10493,10621,10727,10811,10939,11103,11229,11345,11441,11543,11669,11789,11869,12021,12671,12831,12967,13109,13217,13299,13425,13579,13703,13815,13899,14027,14251,14433,14553,14653,14779,14891,14973
1703,1873,2027,2197,2337,2505,2607,2669,2833,2985,3107,3207,3311,3413,3561,3667,3757,3829,3973,4155,4335,4473,4639,4741,4853,4939,5087,5195,5287,5355,5649,5823,5975,6107,6267,6367,6485,6579,6725,6833,6929,6999,7155,7309,7549,7683,7827,7951,8051,8157,8253,8401,8511,8603,8671,9179,9485,9647,9755,9855,9955,10063,10139,10291,10437,10569,10697,10803,10873,11023,11179,11295,11403,11499,11641,11759,11855,11925,12095,12721,12891,13025,13185,13283,13357,13507,13657,13779,13883,13953,14103,14299,14483,14605,14753,14865,14955,15031
