h,h,h,h,h,e,e,h,f,c,b,k,f,f,c,b,k,h,h,e,h,f,c,b,h,h,h,h,j,d,d,c,b,k,h,e,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,h,h,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,k,h,h,c,g,j,d,d,c,b
1569,1989,2247,2545,2703,2867,3029,3203,3345,3453,3537,3679,3837,3959,4073,4149,4279,4515,4695,4865,5003,5147,5249,5337,5591,5747,5881,6059,6179,6281,6399,6519,6593,6743,6931,7121,7489,7655,7779,7883,8005,8119,8203,8327,8487,8613,8725,8843,8937,9043,9167,9281,9363,9491,9649,9769,9887,9969,10109,10291,11005,11169,11331,11499,11611,11691,11813,11975,12097,12203,12317,12409,12513,12641,12755,12835,12963,13147,13331,13451,13553,13673,13793,13875,14009,14175,14303,14425,14505,14849,15009,15133,15251,15359,15477,15569,15679,15807,15923,16003,16151,16345,16513,16643,16745,16871,16985,17071,17195,17357,17493,17605,17685,17829,18073,18275,18433,18591,18707,18799,18905,19033,19149,19235
1599,2029,2281,2581,2749,2929,3091,3253,3417,3525,3591,3759,3913,4033,4139,4207,4357,4565,4751,4925,5057,5219,5321,5395,5649,5797,5937,6113,6241,6379,6483,6587,6657,6821,6983,7233,7543,7711,7843,7985,8097,8189,8263,8407,8563,8689,8803,8905,8997,9143,9257,9357,9425,9571,9725,9845,9959,10027,10189,10343,11047,11223,11389,11553,11677,11749,11893,12053,12175,12275,12379,12471,12617,12729,12827,12893,13043,13199,13389,13509,13653,13767,13867,13933,14087,14251,14383,14495,14561,14901,15063,15211,15327,15429,15537,15631,15781,15897,15993,16063,16227,16397,16569,16703,16845,16957,17055,17131,17273,17437,17571,17675,17743,17909,18149,18325,18485,18661,18767,18857,19009,19121,19221,19293
