e,e,h,e,h,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
425,663,879,1011,1201,1415,1639,1833,1991,2119,2225,2337,2435,2543,2621,2759,2941,3069,3177,3295,3389,3493,3617,3731,3809,3957,4165,4393,4521,4625,4749,4865,4947,5083,5291,5481,5617,5743,5851,5945,6085,6247,6375,6485,6571,6701,6861,6985,7099,7181,7309,7503,7661,7779,7885,8007,8125,8207,8375,8539,8673,8789,8901,8997,9099,9181,9309,9471,9595,9711,9823,9919,10027,10149,10263,10347
527,763,911,1079,1239,1443,1745,1907,2065,2191,2295,2397,2497,2611,2677,2833,3015,3147,3247,3351,3449,3591,3703,3799,3867,4037,4213,4439,4583,4725,4835,4935,5001,5157,5335,5529,5665,5823,5933,6001,6167,6327,6453,6559,6631,6781,6939,7065,7167,7235,7391,7557,7715,7845,7989,8099,8195,8263,8455,8617,8751,8857,8959,9055,9167,9243,9389,9547,9677,9781,9887,9987,10133,10239,10335,10397
