h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,c,b,k,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b
2541,2731,2895,3085,3249,3403,3507,3583,3739,3885,4017,4123,4239,4331,4437,4513,4655,4811,4951,5067,5175,5267,5375,5491,5601,5677,5931,6097,6267,6377,6455,6583,6773,6953,7135,7271,7399,7503,7617,7709,7819,7943,8061,8139,8267,8431,8553,8671,8747,8921,9111,9313,9459,9575,9687,9781,9893,10011,10123,10201
2569,2769,2953,3149,3299,3475,3573,3643,3811,3957,4089,4193,4297,4393,4505,4571,4733,4883,5025,5133,5235,5327,5463,5575,5667,5737,5987,6151,6323,6447,6513,6659,6851,7005,7189,7345,7471,7575,7677,7773,7921,8033,8131,8199,8349,8505,8631,8741,8807,9003,9171,9371,9537,9647,9753,9849,9987,10097,10197,10265
