h,e,h,f,b,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,f,f,c,g,j,d,d,c,b,h,e,e,k,f,f,c,b
1645,1797,1981,2143,2347,2603,2787,2953,3095,3201,3283,3427,3587,3727,3833,3941,4037,4141,4265,4383,4459,4823,4973,5105,5217,5335,5429,5533,5653,5769,5853,6541,6721,6933,7071,7223,7355,7463,7549
1675,1857,2025,2211,2389,2645,2823,3007,3167,3279,3341,3499,3661,3799,3899,4005,4095,4241,4349,4443,4511,4867,5049,5181,5287,5393,5485,5635,5747,5835,5899,6575,6765,7003,7149,7297,7431,7535,7599
