e,e,h,e,e,h,h,h,f,c,b,k,f,f,c,b,h,e,h,f,c,g,j,d,d,c,b,k,f,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,j,c,b,k,f,f,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1959,2127,2295,2457,2717,2969,3191,3359,3501,3601,3683,3827,3983,4113,4219,4301,4727,4891,5027,5161,5267,5385,5475,5579,5695,5815,5889,6055,6213,6335,6461,6571,6653,6793,6989,7155,7275,7379,7493,7609,7691,7829,7989,8109,8231,8345,8455,8549,8655,8781,8893,8973,9147,9297,9425,9537,9623,9875,10049,10155,10239,10361,10521,10645,10755,10839,11155,11309,11431,11533,11655,11771,11855,11983,12139,12267,12377,12459,12585,12747,12871,12979,13099,13195,13299,13421,13537,13617
2031,2193,2335,2513,2815,2999,3217,3397,3569,3671,3737,3901,4055,4185,4289,4359,4759,4947,5073,5233,5329,5437,5533,5673,5781,5875,5947,6129,6283,6409,6531,6641,6709,6889,7037,7207,7335,7477,7581,7681,7751,7903,8059,8185,8305,8407,8511,8611,8755,8867,8959,9027,9223,9371,9499,9611,9681,9911,10097,10215,10289,10443,10597,10721,10829,10895,11199,11357,11489,11635,11743,11835,11909,12059,12215,12341,12443,12513,12667,12825,12947,13049,13157,13259,13401,13509,13611,13679
