e,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,h,k,e,h,f,c,b,k,h,h,h,e,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,e,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
2507,2679,3099,3247,3351,3433,3569,3719,3839,3949,4057,4153,4257,4385,4491,4573,4705,4891,5111,5287,5443,5569,5679,5795,5895,6001,6081,6519,6685,6917,7223,7361,7467,7553,7705,7861,8039,8187,8357,8449,8533,8653,8801,8927,9035,9151,9245,9351,9433,9563,9763,9929,10051,10153,10271,10385,10465,10595,10823,10945,11021,11149,11565,11715,11843,11945,12063,12181,12265,12391,12541,12667,12775,12897,12991,13099,13181,13309,13463,13599,13707,13793,13973,14187,14369,14499,14601,14723,14839,14921
2553,2711,3129,3311,3413,3481,3641,3789,3909,4013,4115,4205,4357,4463,4555,4621,4773,4935,5201,5351,5515,5639,5741,5847,5947,6063,6129,6565,6737,7059,7273,7433,7537,7603,7777,7905,8085,8233,8395,8513,8583,8727,8871,8999,9105,9211,9301,9419,9483,9637,9807,9971,10107,10245,10357,10447,10517,10671,10871,11009,11077,11225,11613,11769,11899,12043,12149,12245,12313,12461,12613,12737,12845,12955,13045,13163,13229,13383,13539,13671,13777,13845,14047,14235,14421,14555,14695,14811,14907,14973
