e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,f,h,f,c,b,k,f,f,c,b,k,c,g,j,d,d,d,c,b,h,e
1617,1811,1963,2207,2393,2587,2733,2839,2917,3049,3221,3357,3465,3581,3675,3781,3899,4017,4095,4475,4645,4839,5063,5219,5345,5453,5537,5677,5839,5963,6073,6189,6283,6389,6511,6627,6707,7161,7349,7451,7531,7653,7811,7935,8047,8157,8251,8355,8483,8593,8675,8825,9009,9211,9335,9439,9565,9677,9757,9995,10163,10321,10589,10731,10835,10919,11047,11203,11335,11443,11525,11675,11849,11965,12057,12165,12293,12421,12537,12619,13383,13571
1685,1845,2029,2253,2443,2637,2809,2909,2977,3127,3293,3431,3537,3643,3737,3877,3987,4087,4155,4527,4699,4953,5137,5293,5421,5527,5601,5759,5913,6037,6143,6253,6343,6487,6599,6695,6765,7217,7399,7527,7589,7733,7887,8011,8117,8219,8313,8459,8569,8659,8733,8903,9061,9269,9401,9539,9649,9747,9817,10051,10213,10391,10645,10807,10907,10979,11127,11277,11411,11515,11585,11759,11919,12029,12125,12267,12397,12509,12607,12679,13431,13650
