d,c,b,k,f,f,c,g,j,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,e,c,b,k,f,f,c,g,j,c,b,h,f,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,e,h,f,f,c,g,j,d
7,69,149,285,439,569,677,805,897,1979,2157,2337,2477,2585,2669,2785,2945,3075,3179,3289,3383,3489,3611,3723,3801,3941,4093,4215,4327,4443,4539,4643,4721,4855,5033,5197,5381,5493,5569,5691,5847,5965,6075,6187,6281,6385,6467,6871,7023,7133,7215,7347,7505,7649,7757,7839,7967,8131,8261,8367,8451,8603,8777,8947,9139,9343,9493,9613,9737,9847,9941,10051
45,133,199,359,515,645,741,863,957,2029,2223,2397,2553,2661,2729,2867,3023,3149,3253,3351,3449,3591,3699,3791,3863,4023,4169,4295,4403,4507,4597,4709,4777,4935,5089,5249,5437,5563,5633,5777,5925,6045,6145,6251,6343,6455,6527,6919,7103,7207,7277,7429,7581,7727,7831,7901,8047,8209,8341,8439,8509,8681,8827,9007,9247,9399,9571,9693,9805,9911,10005,10147
