e,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,e,c,b,k,j,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,c,g,j,c,b,k,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,h,h,h,h,e,h,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,g,j,d,d,c,b
1327,1525,1859,1983,2133,2231,2311,2445,2595,2717,2823,2933,3027,3129,3211,3339,3491,3615,3719,3849,3937,4039,4121,4249,4415,4589,4759,4879,4959,5083,5233,5351,5463,5573,5669,5771,5855,5991,6143,6265,6375,6457,6615,6797,6953,7079,7183,7305,7419,7497,7711,7885,7995,8091,8193,8273,8401,8739,8879,8985,9073,9205,9357,9477,9587,9671,9859,10051,10247,10373,10469,10593,10705,10793,10931,11085,11209,11321,11437,11529,11631,11713,12521,12693,12855,13117,13279,13703,13851,14017,14135,14217,14343,14495,14615,14727,14811,14933,15121,15301,15435,15537,15661,15777,15893,15987,16095,16225,16341,16425
1373,1555,1887,2025,2199,2295,2361,2515,2667,2791,2885,2991,3081,3189,3261,3407,3561,3687,3785,3903,3991,4103,4169,4323,4459,4633,4803,4941,5011,5161,5305,5427,5527,5631,5723,5831,5899,6061,6215,6341,6441,6505,6687,6843,6999,7131,7283,7393,7481,7547,7779,7947,8055,8143,8257,8323,8471,8789,8953,9057,9123,9279,9429,9547,9653,9719,9933,10099,10297,10427,10565,10681,10769,10839,11005,11161,11283,11389,11493,11585,11699,11763,12551,12735,12899,13149,13339,13751,13903,14075,14205,14271,14423,14571,14693,14795,14865,15011,15171,15357,15495,15639,15749,15847,15951,16041,16199,16313,16409,16477
