j,d,d,c,b,e,h,e,k,f,f,c,b,k,c,g,j,c,b,k,f,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,e,c,b,k,f
7,117,235,353,433,1813,1979,2179,2401,2557,2683,2789,2871,3003,3171,3277,3371,3475,3559,3689,3837,3961,4079,4187,4305,4399,4505,4583,4705,4899,5073,5195,5295,5419,5531,5615,5739,5897,6017,6129,6243,6339,6445,6525,6655,6807,6935,7047,7131,7265,7461,7633,7755,7859,7975,8091,8171,8533,8699,8865,8983,9065,9193,9349
67,213,319,425,489,1863,2029,2309,2475,2635,2759,2855,2927,3081,3237,3335,3435,3541,3613,3769,3911,4037,4157,4257,4365,4457,4567,4639,4781,4951,5123,5253,5395,5509,5601,5669,5819,5973,6097,6199,6303,6397,6509,6579,6733,6887,7015,7119,7187,7349,7511,7689,7817,7961,8063,8157,8229,8585,8751,8917,9057,9125,9273,9423
