h,h,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f
1461,1863,1995,2133,2235,2349,2443,2547,2625,2755,2913,3035,3155,3269,3361,3467,3583,3697,3773,3985,4133,4261
1487,1893,2063,2205,2295,2407,2495,2609,2677,2829,2985,3107,3223,3329,3419,3563,3671,3763,3829,4059,4207,4327
