e,h,e,h,e,e,h,h,h,h,e,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b
1647,1863,1993,2209,2391,2599,2765,3003,3185,3411,3621,3879,4055,4207,4337,4443,4559,4651,4759,4839,4979,5133,5267,5375,5493,5585,5689,5807,5919,6001,6143,6301,6433,6547,6625,6753,6955,7153,7331,7493,7621,7729,7843,7939,8047,8129,8299,8493,8665,8789,8889,9009,9123,9203,9339,9497,9621,9729,9845,9937,10049,10169,10285,10367
1735,1897,2057,2247,2459,2667,2807,3045,3233,3455,3667,3981,4127,4279,4407,4513,4615,4709,4825,4893,5057,5209,5337,5445,5553,5645,5785,5895,5989,6059,6219,6373,6507,6613,6681,6833,7005,7279,7409,7569,7697,7799,7905,7999,8113,8183,8377,8547,8717,8845,8981,9091,9193,9261,9419,9571,9697,9805,9907,9999,10145,10253,10359,10421
