e,h,e,h,e,h,f,c,b,h,h,h,h,f,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,e,c,b,k,f,f,c,b,k,h,f,c,b,j,d,d,c,b,h,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1965,2179,2319,2491,2665,2851,3015,3133,3209,3597,3823,4003,4205,4359,4541,4761,4905,5013,5097,5245,5395,5523,5639,5725,5867,6023,6155,6261,6387,6481,6589,6669,6827,7059,7219,7347,7449,7575,7687,7769,7905,8073,8211,8325,8447,8543,8653,8777,8891,8971,9137,9305,9427,9541,9625,10095,10279,10409,10545,10653,10737,10871,11017,11135,11257,11369,11465,11571,11699,11815,11897,12053,12251,12417,12597,12713,12799,12931,13087,13215,13329,13415,13559,13803,13945,14059,14177,14273,14387,14513,14629,14713,15305,15469,15607,15727,15835,15921,16071,16223,16359,16471,16593,16695,16801,16929,17049,17131,17317,17467,17599,17715,17801,17947,18255,18439,18565,18673,18805,18921,19005
2049,2225,2389,2521,2719,2887,3077,3187,3255,3645,3853,4047,4249,4431,4645,4817,4979,5085,5151,5325,5469,5601,5711,5779,5945,6097,6229,6333,6447,6545,6663,6729,6909,7113,7271,7409,7547,7659,7751,7821,7983,8147,8287,8395,8505,8601,8753,8867,8959,9029,9213,9379,9503,9609,9681,10135,10323,10455,10619,10721,10789,10943,11093,11215,11329,11431,11527,11675,11793,11881,11951,12125,12297,12463,12641,12785,12851,13007,13167,13293,13399,13471,13637,13857,14021,14125,14237,14333,14485,14605,14701,14775,15335,15513,15681,15803,15903,15975,16151,16301,16435,16543,16657,16751,16901,17019,17117,17185,17393,17543,17673,17783,17853,18025,18305,18485,18623,18777,18895,18991,19065
