h,h,h,f,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1473,1831,1981,2153,2255,2335,2683,2895,3071,3225,3325,3409,3541,3703,3853,3959,4081,4175,4279,4389,4507,4585,4751,4913,5043,5161,5241,5593,5749,5875,5979,6097,6211,6291,6503,6655,6781,6889,6973,7113,7303,7469,7591,7691,7807,7921,7999
1515,1863,2029,2227,2319,2389,2735,2959,3123,3297,3395,3465,3619,3781,3927,4033,4139,4231,4371,4479,4571,4641,4825,4987,5115,5229,5293,5649,5801,5933,6075,6189,6281,6343,6579,6729,6857,6959,7027,7191,7353,7523,7651,7789,7897,7991,8057
