h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,e,h,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,e,h,f,h,h,h,e,h,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,j,d,d,c,b
1143,1313,1851,1995,2105,2183,2317,2479,2621,2729,2841,2935,3043,3163,3275,3355,3495,3661,3821,3935,4047,4139,4249,4329,4481,4691,4843,4985,5093,5179,5311,5773,5913,6055,6183,6293,6409,6503,6609,6729,6845,6927,7057,7217,7347,7457,7581,7673,7779,7901,8017,8103,8237,8391,8521,8631,8753,8851,8959,9083,9199,9279,9633,9817,9979,10143,10281,10787,10953,11123,11299,11419,11503,11631,11787,11915,12027,12111,12245,12399,12537,12647,12769,12865,12969,13053,13179,13347,13469,13579,13709,13807,13915,14045,14157,14241
1173,1343,1883,2059,2163,2231,2387,2545,2683,2789,2897,2993,3141,3245,3335,3405,3569,3729,3891,3999,4105,4199,4317,4381,4551,4739,4891,5057,5165,5231,5385,5807,5957,6125,6257,6357,6463,6557,6705,6813,6909,6975,7129,7291,7421,7527,7641,7733,7875,7987,8083,8151,8309,8463,8593,8703,8807,8907,9061,9171,9269,9335,9685,9869,10037,10195,10331,10817,10997,11169,11349,11483,11561,11707,11857,11989,12097,12167,12327,12473,12611,12717,12831,12921,13031,13103,13255,13421,13543,13647,13763,13861,14021,14131,14227,14295
