h,h,e,h,h,e,h,f,c,b,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,e,h,f,c,g,j,d,d,c,b,k,f,f,e,k,f,f,c,b,k,f,j,h,h,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,h,h,j,d,d,c,b,k,h,h,j,d,d,c,b
1693,1993,2173,2413,2617,2963,3143,3285,3389,3469,3779,3941,4083,4187,4269,4399,4547,4675,4787,4901,4995,5101,5177,5347,5501,5627,5731,5847,5939,6043,6161,6271,6353,6483,6639,6767,6883,6965,7105,7321,7459,7593,7697,7815,7911,8015,8129,8245,8325,8461,8613,8737,8881,9049,9213,9341,9457,9539,9665,9815,9983,10177,10367,10517,10627,10711,10841,10993,11141,11253,11367,11463,11569,11689,11803,11883,12033,12183,12557,12721,12839,12941,13057,13173,13253,13441,13631,13801,13933,14039,14163,14283,14361
1725,2023,2231,2457,2655,3035,3193,3355,3453,3519,3823,3987,4157,4255,4329,4477,4623,4747,4855,4961,5057,5171,5235,5417,5575,5699,5799,5903,5997,6139,6247,6339,6407,6559,6715,6845,6955,7027,7187,7379,7511,7669,7767,7871,7967,8109,8217,8311,8383,8539,8691,8815,8989,9129,9289,9419,9523,9597,9745,9895,10039,10237,10417,10587,10697,10767,10919,11073,11219,11321,11427,11525,11667,11773,11873,11943,12113,12261,12601,12767,12895,13041,13145,13237,13311,13515,13681,13855,13995,14137,14251,14347,14419
