e,h,e,e,e,h,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,f,f,c,b,k,h,h,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,c,b,k
1677,1831,1979,2195,2377,2539,2681,2783,2867,3007,3209,3381,3519,3637,3745,3863,3953,4063,4183,4293,4373,4521,4685,4811,4927,5043,5141,5247,5371,5497,5575,5833,6023,6167,6307,6417,6499,6645,6809,6935,7047,7165,7259,7365,7491,7613,7693,7839,8017,8147,8257,8375,8473,8581,8703,8821,8901,9041,9279,9423,9549,9659,9745,9945,10141,10309,10427,10531,10657,10793,10875,11043,11287,11465,11637,11771,11877,11963,12107,12261,12387,12499,12581,12755
1709,1863,2043,2249,2429,2583,2751,2851,2921,3085,3253,3425,3589,3709,3809,3921,4013,4159,4263,4363,4429,4597,4759,4883,4997,5103,5203,5347,5455,5565,5631,5885,6079,6225,6379,6487,6557,6721,6883,7011,7119,7225,7319,7463,7583,7683,7751,7921,8093,8221,8327,8439,8537,8673,8793,8893,8963,9123,9331,9501,9623,9735,9803,10023,10191,10361,10485,10633,10761,10865,10931,11121,11343,11525,11685,11847,11949,12017,12187,12337,12465,12571,12641,12837
