k,h,h,e,h,e,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f
83,299,1991,2185,2407,2575,2689,2773,2895,3053,3175,3289,3419,3517,3625,3709,3849,4037,4163,4273,4359,4487,4647,4789,4903,5027,5125,5235,5321,5451,5611
159,345,2021,2231,2439,2621,2747,2819,2977,3125,3249,3351,3475,3573,3691,3761,3927,4109,4235,4341,4407,4563,4721,4861,4971,5087,5181,5299,5371,5523,5681
