h,h,h,h,h,f,c,b,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b
1475,1841,1983,2429,2769,2917,3021,3101,3527,3675,3777,3857,4039,4195,4311,4417,4527,4619,4721,4841,4957,5031,5425,5623,5841,5985,6113,6219,6333,6423,6529,6649,6759,6837
1509,1869,2033,2465,2815,2987,3085,3153,3573,3743,3843,3911,4111,4265,4383,4485,4583,4679,4823,4929,5023,5093,5469,5753,5913,6059,6179,6285,6389,6483,6627,6735,6827,6889
