e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,k,j,d,d,c,b,k,e,c,b,k,f,f,c,g,j,d,d,d,e,h,h,e,k,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
1971,2251,2433,2613,2785,2943,3087,3223,3323,3405,3553,3707,3831,3933,4047,4141,4245,4327,4453,4601,4721,4837,4951,5045,5151,5231,5355,5505,5631,5741,5827,5955,6135,6293,6411,6511,6633,6749,6829,6971,7125,7251,7361,7467,7563,7667,7751,7881,8031,8157,8267,8383,8477,8581,8705,8817,8897,9115,9269,9447,9549,9631,9751,9903,10027,10135,10251,10347,10453,10575,10689,10773,10925,11103,11279,11439,11559,11659,11779,11897,11981,12123,12357,12461,12545,12685,12835,12967,13075,13199,13291,13397,13523,13645,13793,14331,14487,14677,14843,15011,15127,15221,15319,15405,15533,15683,15807,15915,16033,16127,16233,16355,16467,16551
2023,2279,2465,2651,2833,2995,3133,3293,3387,3457,3625,3779,3901,3997,4095,4187,4309,4375,4527,4673,4793,4903,5011,5101,5213,5279,5429,5575,5699,5809,5877,6027,6179,6341,6465,6609,6723,6815,6881,7047,7199,7323,7425,7527,7619,7733,7803,7953,8103,8225,8335,8441,8535,8681,8795,8887,8951,9159,9321,9493,9619,9687,9823,9977,10097,10201,10307,10401,10549,10665,10753,10823,10999,11149,11329,11489,11617,11761,11869,11963,12029,12197,12403,12523,12595,12761,12909,13039,13143,13255,13345,13499,13619,13733,13885,14379,14533,14779,14915,15079,15185,15275,15387,15455,15607,15759,15881,15985,16093,16187,16333,16439,16531,16599
