e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,e,k,f,f,c,g,j,c,b,k
1767,1991,2153,2333,2517,2659,2759,2841,3021,3179,3307,3415,3533,3621,3729,3843,3955,4033,4285,4449,4583,4685,4803,4921,5001,5561,5721,5889,6029,6161,6267,6353,6475,6627,6751,6861,6979,7073,7177,7295,7411,7489,7621,7785,7905,8029,8111,8247,8433,8609,8733,8837,8955,9047,9153,9271,9385,9463,9607,9777,9901,10013,10137,10233,10341,10467,10583,10665,10799,11077,11215,11365,11489,11613,11731,11825,11931,12013,12175
1803,2027,2205,2399,2565,2729,2823,2893,3095,3253,3375,3475,3585,3677,3823,3929,4021,4085,4331,4501,4639,4781,4893,4985,5051,5607,5771,5947,6079,6233,6335,6403,6549,6699,6821,6931,7041,7137,7281,7385,7479,7547,7699,7859,7979,8095,8159,8323,8481,8655,8807,8907,9013,9105,9257,9365,9455,9523,9687,9855,9979,10087,10197,10291,10441,10555,10653,10721,10879,11155,11291,11443,11567,11685,11793,11889,11999,12071,12251
