e,h,h,h,h,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,h,h,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,h,h,e,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1987,2139,2325,2501,2663,2813,2937,3055,3167,3255,3363,3481,3589,3667,3957,4151,4317,4475,4593,4699,4809,4903,5005,5083,5229,5381,5501,5613,5691,5819,5991,6119,6225,6337,6431,6535,6611,6849,7003,7131,7237,7351,7443,7551,7671,7783,7863,8305,8461,8589,8691,8811,8923,9003,9145,9343,9529,9655,9771,9885,9979,10085,10203,10313,10391,10691,10841,10963,11071,11189,11285,11397,11479,11611,11801,12047,12201,12357,12533,12661,12801,12929,13039,13119,13267,13427,13559,13667,13787,13881,13985,14107,14223,14305
2035,2177,2365,2537,2711,2883,3007,3117,3223,3313,3453,3563,3657,3721,4011,4247,4393,4547,4665,4763,4869,4959,5073,5137,5303,5451,5573,5683,5751,5899,6061,6191,6297,6399,6493,6603,6673,6905,7059,7205,7309,7413,7505,7645,7755,7857,7923,8357,8511,8647,8787,8895,8983,9061,9221,9391,9583,9733,9841,9949,10039,10179,10287,10385,10453,10763,10917,11039,11141,11253,11349,11465,11537,11689,11855,12101,12253,12411,12589,12715,12877,13005,13109,13181,13349,13503,13633,13739,13849,13939,14081,14193,14293,14363
