e,e,e,h,e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,h
1197,1371,1513,1761,1967,2319,2505,2763,2927,3129,3275,3405,3509,3589,3725,3891,4043,4149,4263,4359,4465,4583,4695,4775,5013,5179,5303,5403,5521,5635,5715,5863,6087,6223,6373,6477,6593,6687,6793,6923,7037,7115,7271,7437,7563,7677,7793,7887,7993,8073,8201,8455,8601,8729,8833,8951,9065,9143,9289,9441,9565,9683,9807,9903,10759
1237,1397,1583,1789,2043,2371,2555,2803,2987,3181,3315,3475,3573,3643,3801,3965,4119,4223,4325,4417,4561,4667,4759,4827,5061,5227,5353,5503,5607,5701,5775,5937,6137,6273,6449,6547,6651,6749,6901,7011,7101,7173,7345,7515,7637,7745,7851,7947,8061,8125,8279,8493,8657,8795,8933,9037,9127,9199,9367,9517,9645,9759,9867,9967,10795
