e,h,e,e,h,e,h,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,c,g,j,d,d,c,b,h,h,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,k,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,e,k,f,f,c,g,j,c,b,k
2199,2427,2577,2781,2951,3113,3423,3587,3787,3959,4121,4291,4443,4583,4683,4765,4893,5055,5175,5289,5401,5495,5599,5679,5899,6073,6179,6271,6377,6501,6613,6695,6999,7161,7317,7471,7599,7707,7821,7915,8021,8141,8255,8333,8467,8625,8749,8863,8983,9075,9179,9259,9383,9541,9665,9775,9863,10019,10199,10373,10501,10605,10725,10839,10919,11051,11207,11335,11451,11567,11663,11769,11889,12005,12085,12257,12601,12765,12917,13041,13149,13267,13359,13467,13547,13681
2241,2459,2639,2843,2985,3175,3467,3631,3831,4003,4181,4355,4499,4657,4757,4823,4973,5127,5251,5359,5463,5553,5663,5735,5979,6145,6241,6333,6471,6585,6687,6753,7051,7215,7373,7523,7677,7777,7883,7977,8117,8229,8321,8389,8545,8703,8827,8935,9043,9135,9249,9317,9461,9617,9741,9847,9919,10095,10251,10427,10567,10707,10813,10907,10979,11133,11283,11415,11525,11633,11727,11867,11979,12075,12147,12339,12701,12843,12997,13119,13223,13327,13421,13537,13609,13759
