h,e,e,h,f,c,b,k,f,f,c,b,k,f,c,g,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,k
1373,1529,1767,1983,2133,2237,2319,2457,2609,2731,2837,2919,3059,3219,3329,3439,3531,3637,3755,3869,3947,4089,4277,4445,4577,4697,4805,4919,5013,5113,5229,5347,5425,5579,5821,6017,6169,6321,6437,6547,6629,6759,6913,7039,7145,7261,7353,7459,7579,7697,7779,8035,8221,8433,8587,8709,8813,8927,9023,9129,9249,9367,9445,9589
1401,1575,1859,2027,2201,2295,2367,2525,2675,2801,2903,2969,3133,3289,3391,3495,3587,3731,3837,3929,3999,4159,4323,4493,4651,4769,4871,4977,5067,5213,5313,5409,5471,5651,5867,6107,6243,6391,6509,6615,6683,6837,6989,7111,7213,7319,7407,7555,7665,7759,7829,8081,8355,8507,8661,8785,8883,8983,9081,9225,9335,9429,9499,9665
