h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b
391,1197,1991,2165,2315,2453,2585,2689,2769,2897,3045,3175,3283,3399,3491,3595,3715,3837,3919,4047,4199,4325,4435,4515,4665,4843,5019,5151,5273,5381,5499,5595,5707,5827,5943,6025
441,1239,2021,2197,2363,2497,2655,2753,2823,2971,3117,3245,3351,3459,3545,3693,3811,3901,3969,4119,4273,4395,4499,4567,4737,4891,5071,5225,5347,5453,5559,5653,5801,5917,6009,6079
