e,h,h,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,h,h,e,h,j,d,d,c,b,k,h,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,e,c,b,e,f,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1323,1581,1741,1971,2177,2347,2485,2591,2671,2823,2965,3089,3199,3311,3409,3515,3635,3747,3823,4079,4277,4407,4545,4651,4767,4863,4973,5097,5209,5295,5419,5577,5699,5815,5927,6025,6133,6255,6373,6453,6605,6797,7053,7191,7295,7379,7519,7669,7791,7911,8025,8125,8233,8353,8469,8551,8689,8845,8973,9085,9205,9303,9413,9537,9653,9735,9867,10031,10309,10487,10665,10819,10969,11069,11187,11307,11391,11553,11755,11909,12045,12167,12273,12361,12511,12691,12825,12939,13065,13161,13269,13397,13509,13593,13957,14127,14385,14847,14999,15179,15319,15451,15559,15645,15777,15943,16069,16177,16301,16401,16511,16635,16757,16843,16993,17581,17749,17935,18053,18135,18367,18525,18655,18763,18849,18981,19149,19271,19391,19477,19649,19815,19949,20061,20185,20285,20397,20525,20645,20729
1355,1609,1777,2013,2215,2389,2553,2647,2719,2883,3037,3159,3265,3369,3463,3613,3719,3813,3879,4131,4335,4457,4619,4719,4825,4921,5069,5183,5275,5345,5491,5647,5771,5883,5991,6083,6229,6343,6439,6505,6677,6843,7099,7263,7369,7435,7593,7739,7865,7981,8089,8183,8331,8439,8535,8601,8765,8919,9047,9155,9267,9361,9515,9627,9717,9787,9943,10099,10357,10539,10717,10871,11025,11167,11275,11373,11447,11623,11799,11959,12123,12243,12341,12409,12591,12763,12899,13009,13129,13221,13363,13481,13573,13645,14009,14177,14423,14891,15045,15217,15367,15529,15627,15693,15847,16017,16145,16247,16363,16457,16613,16725,16823,16893,17065,17621,17797,17983,18109,18185,18445,18601,18727,18831,18897,19061,19221,19347,19461,19529,19725,19887,20027,20131,20247,20341,20501,20617,20713,20781
