h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,e,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,e,k,f,f,c,g,j,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,j,h,h,e,c,b,k,f,f,c,g,j,c,b,k,h,h,h,j,d,d,c,b
1827,1981,2161,2313,2471,2625,2757,2861,2937,3073,3221,3343,3461,3575,3669,3771,3853,3985,4181,4351,4501,4723,4867,5013,5135,5243,5357,5451,5553,5633,5753,5911,6027,6137,6251,6343,6449,6527,6655,6847,7021,7237,7375,7521,7643,7751,7865,7961,8063,8143,8279,8467,8681,8807,8929,9037,9151,9243,9345,9465,9577,9657,9807,9963,10097,10205,10287,10441,10643,10819,10987,11087,11169,11295,11449,11573,11689,11799,11895,12001,12083,12213,12409,12679,12809,12927,13031,13155,13269,13351
1859,2043,2191,2341,2499,2663,2819,2917,2985,3141,3289,3411,3527,3631,3721,3831,3897,4055,4225,4391,4561,4799,4933,5083,5203,5305,5415,5503,5613,5683,5825,5979,6099,6201,6307,6397,6507,6575,6727,6889,7067,7311,7445,7593,7713,7815,7925,8015,8123,8189,8347,8511,8725,8883,9001,9103,9207,9297,9445,9553,9639,9701,9875,10033,10167,10269,10335,10513,10691,10869,11029,11159,11227,11375,11523,11651,11759,11861,11953,12071,12139,12293,12459,12715,12863,12983,13129,13243,13339,13403
