h,h,e,h,h,h,f,c,b,k,f,f,c,b,k,f,f,c,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,c,b,k,h,h,j,d,d,c,b,h,h,e,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,e,c,b
809,1325,1483,1821,1979,2143,2295,2395,2479,2647,2801,2923,3029,3111,3257,3415,3551,3675,3913,4105,4265,4423,4553,4663,4779,4875,4985,5125,5243,5325,5463,5639,5767,5877,5995,6089,6195,6323,6443,6523,6675,6831,6971,7081,7195,7289,7399,7479,7665,7857,8055,8241,8395,8525,8637,8757,8851,8965,9085,9201,9283,9671,9863,10041,10215,10369,10497,10613,10695,10825,10997,11125,11237,11357,11453,11557,11681,11799,11885,12577,12759,12877,12959,13095,13285,13459,13579,13685,13807,13927,14009,14429,14573,14769,14967,15121,15243,15361,15445,15579,15761,15893,16001,16121,16219,16327,16407,16545,16959,17161,17281,17363
837,1357,1531,1849,2023,2197,2363,2459,2529,2719,2875,2997,3099,3169,3335,3487,3627,3727,3965,4209,4343,4499,4625,4733,4841,4935,5083,5215,5311,5379,5545,5715,5843,5949,6057,6151,6299,6415,6509,6579,6751,6907,7047,7151,7253,7351,7467,7537,7743,7907,8151,8321,8473,8603,8711,8815,8913,9069,9175,9271,9335,9717,9901,10143,10291,10447,10573,10683,10749,10905,11077,11203,11309,11419,11517,11661,11773,11871,11937,12625,12801,12945,13017,13173,13335,13515,13641,13791,13897,13993,14061,14469,14625,14875,15041,15197,15319,15431,15495,15661,15839,15969,16073,16185,16281,16389,16461,16623,17009,17211,17349,17419
