e,h,e,h,f,c,b,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,e,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,e,j,c,b,k,f,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1985,2177,2315,2501,2655,2761,2841,3095,3269,3399,3501,3621,3737,3815,3941,4095,4223,4335,4451,4543,4653,4777,4891,4969,5103,5261,5381,5491,5609,5705,5815,5893,6033,6215,6397,6577,6739,6887,7009,7117,7233,7327,7435,7557,7669,7751,7883,8081,8265,8431,8585,8705,8815,8929,9023,9133,9247,9361,9439,9591,9771,9973,10147,10253,10333,10459,10607,10733,10841,10925,11051,11217,11341,11451,11531,11669,11817,11953,12063,12179,12273,12377,12499,12613,12695
2047,2217,2393,2545,2727,2823,2895,3143,3319,3457,3601,3709,3807,3869,4019,4171,4297,4407,4513,4603,4753,4865,4959,5021,5179,5337,5455,5559,5671,5767,5883,5951,6113,6263,6451,6695,6817,6959,7085,7191,7297,7391,7535,7645,7739,7801,7961,8131,8369,8507,8661,8783,8889,8991,9085,9231,9335,9429,9493,9669,9823,10083,10203,10315,10385,10539,10687,10809,10915,10977,11129,11291,11415,11525,11591,11751,11893,12029,12135,12241,12335,12477,12589,12679,12749
