e,h,e,h,e,e,h,h,h,e,e,k,f,c,g,j,d,d,c,b,k,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,h,h,f,c,g,j,d,d,c,b,h,e,h,f,c,b,j,d,d,c,b,k,h,e,k,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
69,1797,1943,2121,2267,2489,2795,2969,3159,3321,3537,3719,3873,3981,4093,4187,4293,4411,4525,4605,4735,4913,5061,5179,5287,5403,5495,5599,5711,5827,5905,6093,6251,6375,6487,6605,6699,6803,6925,7039,7115,7297,7493,7663,7789,7895,7977,8145,8349,8517,8641,8751,8869,8963,9069,9187,9301,9385,9687,9863,9995,10129,10245,10359,10453,10559,10685,10799,10881,11095,11289,11483,11623,11741,11847,11965,12061,12165,12289,12401,12483,12609,12775,12899,13019,13101,13237,13387,13507,13621,13741,13837,13949,14073,14187,14271
121,1823,2021,2165,2329,2553,2839,2999,3193,3375,3645,3789,3949,4055,4151,4247,4389,4497,4587,4657,4807,4953,5135,5257,5361,5463,5555,5697,5799,5893,5959,6167,6327,6449,6551,6661,6761,6909,7013,7105,7177,7377,7545,7719,7871,7965,8031,8217,8397,8565,8719,8827,8929,9025,9173,9277,9371,9441,9733,9917,10043,10209,10319,10417,10521,10667,10775,10867,10937,11173,11337,11537,11661,11817,11927,12027,12127,12269,12373,12473,12543,12691,12855,12979,13085,13159,13309,13463,13587,13697,13803,13899,14055,14165,14259,14327
