e,e,e,h,e,h,e,h,h,f,c,b,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,h,h,f,f,c,b,k,c,g,j,d,d,c,b
229,535,1983,2481,2625,2793,2963,3615,3789,3937,4049,4127,4479,4623,4759,4863,4949,5105,5269,5393,5511,5627,5725,5835,5915,6049,6343,6489,6609,6711,6837,6955,7037,7345,7497,7631,7753,7867,7955,8147,8323,8435,8529,8637,8753,8879,8959
333,605,2033,2511,2677,2831,3027,3663,3841,4015,4113,4183,4537,4673,4833,4935,5005,5183,5343,5471,5583,5691,5791,5907,5979,6131,6395,6545,6673,6817,6931,7023,7093,7395,7547,7711,7833,7935,8007,8221,8389,8495,8591,8741,8847,8951,9019
