e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,k,e,h,f,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,h,e,h,f,c,g,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,e,c,b,k,f,f,c,b,k,h,j,d,d,c,b,h,h,e,h,e,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1389,1659,1839,1991,2129,2233,2317,2453,2609,2743,2851,2963,3061,3175,3281,3391,3469,3615,3813,4065,4231,4393,4521,4647,4753,4839,4971,5119,5241,5349,5431,5571,5745,5933,6061,6167,6277,6371,6479,6597,6715,6791,6927,7075,7201,7323,7435,7517,7645,7831,7995,8125,8231,8351,8467,8547,8679,8833,8953,9063,9147,9279,9485,9657,9777,9879,9995,10113,10193,10337,10489,10623,10735,10819,10953,11157,11333,11525,11697,11847,11977,12103,12213,12307,12413,12535,12653,12739,12871,13149,13335,13471,13607,13717,13805,13957,14109,14251,14359,14485,14581,14691,14811,14929,15007,15879,16057,16199,16335,16439,16527,16653,16813,16937,17049,17171,17263,17369,17453,17587,17795,17993,18103,18185,18317,18477,18607,18719,18809,18975,19177,19311,19413,19543,19663,19751,20457,20629,20799,20929,21127,21219,21303,21433,21581,21709,21819,21905,22051,22213,22343,22461,22579,22675,22789,22917,23033,23115
1439,1687,1891,2023,2197,2295,2367,2523,2677,2813,2913,3017,3111,3257,3361,3457,3525,3689,3863,4115,4279,4447,4575,4725,4821,4893,5047,5195,5317,5415,5483,5639,5791,5973,6135,6231,6333,6425,6575,6683,6779,6851,7005,7151,7279,7397,7507,7575,7721,7875,8045,8181,8327,8435,8531,8599,8753,8907,9031,9137,9205,9357,9533,9713,9837,9977,10083,10177,10245,10411,10565,10699,10803,10875,11031,11207,11383,11575,11757,11901,12057,12171,12275,12365,12513,12621,12719,12793,12951,13191,13397,13523,13685,13789,13861,14035,14187,14327,14429,14545,14641,14791,14897,14997,15069,15927,16109,16241,16409,16511,16577,16727,16889,17013,17115,17229,17319,17431,17505,17665,17841,18045,18169,18239,18397,18553,18683,18793,18859,19051,19227,19367,19513,19637,19729,19803,20497,20675,20841,20973,21159,21287,21357,21513,21655,21785,21891,21961,22129,22285,22417,22535,22633,22731,22887,23005,23101,23171
