e,e,h,e,h,h,h,h,e,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,e,k,f,f,c,g,j,c,b,k,f,f,h,h,h,e,k,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1271,1635,1809,1955,2563,2745,2943,3121,3299,3507,3681,3817,3917,3995,4135,4287,4407,4513,4595,4727,4923,5083,5207,5311,5433,5547,5627,5769,5931,6057,6167,6273,6367,6473,6553,6683,7019,7173,7295,7399,7519,7641,7719,7887,8049,8169,8275,8393,8485,8591,8709,8825,8905,9057,9223,9349,9461,9543,9669,9863,10033,10215,10391,10547,10665,10775,10887,10981,11085,11163,11289,11447,11573,11917,12069,12257,12447,12639,12765,12849,12975,13125,13247,13359,13441,13607,13803,13979,14095,14199,14319,14439,14523
1435,1687,1843,2029,2601,2789,2987,3167,3367,3571,3727,3887,3987,4055,4213,4363,4483,4583,4651,4803,4971,5133,5271,5405,5525,5617,5685,5847,6003,6131,6233,6335,6427,6539,6607,6765,7073,7221,7355,7495,7611,7713,7777,7965,8125,8245,8351,8455,8547,8689,8799,8897,8961,9137,9299,9427,9529,9601,9751,9909,10085,10347,10471,10625,10743,10849,10951,11043,11157,11225,11369,11525,11649,11969,12123,12311,12595,12693,12837,12907,13053,13205,13327,13431,13503,13687,13855,14033,14157,14297,14411,14509,14575
