c,g,j,d,d,c,b,k,h,e,h,f,h,h,h,e,c,b,k,c,g,j,d,d,c,b,k,f,f,c,b,k,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b
13,135,229,331,457,569,653,827,1989,2163,2323,2463,2873,3021,3183,3333,3443,3521,3643,3807,3915,4013,4117,4237,4351,4435,4583,4725,4845,4963,5047,5185,5385,5515,5617,5737,5853,5931,6061,6215,6343,6463,6547,6701,6859,7003,7113,7195
83,193,287,431,541,637,705,897,2029,2209,2369,2527,2919,3071,3229,3377,3503,3573,3719,3873,3977,4063,4211,4323,4413,4483,4649,4799,4917,5035,5103,5265,5435,5567,5713,5821,5919,5987,6139,6291,6419,6527,6597,6775,6931,7079,7179,7243
