e,h,e,h,e,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,j,f,c,b,j,f,f,c,g,j,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1043,1991,2141,2335,2515,2865,3033,3183,3291,3369,3527,3689,3809,3919,4031,4127,4233,4315,4453,4621,4745,4849,4971,5063,5169,5291,5407,5489,5633,5791,5915,6001,6143,6291,6419,6529,6647,6741,6847,6927,7079,7265,7447,7575,7697,7803,7955,8051,8157,8273,8393,8475,8601,8757,8881,8999,9113,9209,9321,9439,9561,9637,9885,10071,10195,10301,10423,10539,10619,10791,10975,11271,11439,11591,11713,11827,11941,12041,12147,12269,12391,12473,12613,12775,12913,13031,13109,13295,13463,13587,13697,13819,13915,14023,14149,14271,14351
1153,2021,2215,2367,2575,2913,3085,3257,3355,3427,3599,3759,3879,3987,4093,4185,4305,4373,4531,4695,4819,4923,5031,5125,5265,5379,5473,5547,5711,5863,5991,6059,6225,6367,6495,6597,6709,6803,6915,6981,7161,7313,7501,7651,7771,7877,8017,8113,8255,8361,8461,8533,8681,8833,8957,9075,9177,9273,9417,9523,9631,9695,9937,10129,10255,10399,10509,10607,10679,10875,11029,11375,11517,11665,11791,11905,12003,12097,12251,12359,12463,12531,12691,12851,12989,13101,13169,13375,13537,13663,13771,13883,13981,14121,14237,14341,14411
