j,h,e,h,e,h,e,e,h,e,k,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b
1997,2683,2807,3035,3433,3627,3797,4055,4203,4415,4571,4715,4819,4899,5055,5211,5337,5447,5563,5657,5759,5839,5981,6141,6265,6379,6493,6589,6695,6821,6933,7009,7141,7339,7525,7657,7781,7887,8003,8095,8201,8321,8441,8523,8661,8815,8941,9055,9137,9297,9483,9653,9777,9879,9995,10111,10191,10319,10469,10593,10707,10791,10933,11103,11223,11333,11453,11547,11655,11733,11865,12021,12149,12269,12383,12479,12585,12665,12799,13071,13239,13361,13463,13585,13699,13781,13937,14091,14221,14335,14455,14549,14659,14783,14901,14985
2023,2717,2891,3073,3473,3671,3867,4117,4253,4469,4621,4787,4887,4955,5135,5287,5411,5517,5625,5723,5827,5899,6059,6215,6343,6451,6555,6649,6799,6907,7001,7069,7223,7387,7585,7737,7859,7961,8063,8155,8297,8409,8511,8583,8739,8891,9017,9127,9195,9375,9537,9709,9841,9977,10083,10177,10247,10401,10549,10671,10777,10851,11015,11181,11301,11411,11517,11613,11727,11795,11949,12101,12227,12343,12447,12541,12655,12727,12881,13125,13295,13425,13569,13673,13773,13843,14017,14171,14301,14409,14519,14615,14763,14875,14971,15043
