e,e,h,e,e,h,e,h,e,h,h,f,c,b,e,k,f,f,c,g,j,c,b,h,e,e,h,f,c,g,j,d,d,c,b,h,h,h,h,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
1725,1895,2219,2351,2787,2975,3175,3379,3559,4239,4419,4601,4703,4783,5065,5223,5379,5509,5619,5729,5823,5927,6011,6381,6561,6737,6885,7027,7129,7251,7343,7451,7569,7681,7761,8239,8387,8557,8729,8855,8957,9073,9187,9267,9413,9587,9751,9879,9977,10095,10215,10293,10437,10595,10719,10825,10943,11037,11141,11223,11349,11507,11633,11745,11857,11949,12057,12179,12295,12375
1793,2111,2253,2427,2855,3019,3239,3425,3623,4287,4471,4671,4771,4843,5137,5303,5455,5585,5693,5791,5887,5999,6071,6435,6625,6801,6939,7103,7203,7313,7405,7545,7655,7751,7817,8285,8435,8609,8783,8915,9061,9157,9255,9323,9489,9637,9807,9939,10077,10189,10289,10359,10515,10671,10793,10903,11007,11095,11211,11279,11431,11587,11711,11819,11919,12013,12163,12269,12367,12437
