h,e,h,e,e,e,h,f,c,b,h,h,f,c,b,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,b,k,f,f,c,b,k,f
1085,1301,1491,1641,1915,1943,2175,2313,2423,2505,2879,3047,3185,3293,3377,3751,3923,4073,4207,4309,4391,4521,4669,4791,4901,5011,5107,5211,5289,5421,5577,5697,5805,5921,6015,6121,6199,6355,6509,6629,6737,6855,6949,7053,7177,7291,7371,7543,7729,7847,7951,8075,8185,8267,8517,8679,8807,8911,9035,9151,9233,9419,9579,9705,9821,9903,10057,10255,10447,10637,10791,10913,11023,11111,11247,11395,11513,11639,11719,11877,12031
1115,1353,1521,1687,1941,2029,2219,2387,2483,2551,2919,3091,3253,3351,3425,3801,3975,4121,4281,4379,4453,4599,4745,4865,4973,5075,5171,5277,5349,5501,5653,5773,5875,5983,6077,6189,6261,6437,6581,6703,6811,6917,7013,7153,7265,7361,7431,7593,7781,7905,8049,8159,8257,8329,8573,8735,8875,9009,9127,9219,9291,9495,9653,9783,9887,9959,10135,10307,10567,10711,10869,10987,11095,11161,11323,11469,11585,11705,11773,11953,12105
