h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,b,k,h,h,e,j,d,d,c,b
805,1031,1167,1363,1593,1855,1989,2089,2169,2309,2461,2575,2679,2793,2887,2999,3107,3215,3293,3455,3623,3801,3965,4117,4235,4335,4453,4545,4647,4763,4873,4953,5131,5287,5409,5517,5601,5733,5909,6091,6265,6413,6551,6659,6743,6867,7047,7223,7403,7581,7685,7807,7923,8001
833,1063,1205,1403,1747,1901,2059,2155,2219,2381,2529,2641,2747,2851,2941,3085,3191,3273,3339,3527,3665,3895,4039,4189,4303,4401,4509,4597,4737,4845,4935,5003,5203,5357,5477,5585,5649,5801,5955,6199,6335,6487,6621,6725,6791,6939,7091,7263,7527,7635,7781,7891,7983,8053
