e,e,e,e,h,e,h,h,k,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,h,e,h,f,f,c,b,k,f,f,c,g,j,c,b,k,f,h,e,c,b,k,f,f,c,g,j,d,d,c,b
1997,3233,3409,3797,3985,4115,4373,4753,4919,5099,5337,5475,5619,5719,5801,5973,6121,6257,6363,6477,6569,6677,6799,6911,6987,7211,7387,7513,7645,7753,7839,7963,8111,8231,8339,8449,8543,8647,8763,8879,8959,9095,9271,9459,9589,9731,9837,9955,10049,10153,10271,10389,10467,10597,10747,10869,10983,11063,11187,11353,11473,11587,11705,11799,11905,12023,12137,12217,12385,12535,12659,12771,12855,12985,13165,13341,13471,13579,13695,13791,13897,14017,14129,14213,14727,14891,15023,15153,15275,15385,15467,15589,15741,15865,15981,16103,16195,16305,16387,16511,16663,17177,17361,17473,17555,17681,17831,17959,18063,18177,18277,18379,18511,18627,18707
2041,3287,3527,3877,4017,4187,4419,4799,4967,5161,5397,5531,5689,5793,5861,6051,6195,6331,6431,6537,6631,6775,6885,6981,7045,7259,7439,7563,7723,7821,7889,8035,8183,8303,8403,8505,8595,8745,8849,8945,9011,9171,9319,9511,9639,9807,9907,10015,10103,10255,10359,10451,10523,10673,10821,10945,11049,11115,11267,11425,11549,11655,11765,11859,12007,12107,12201,12271,12457,12607,12731,12835,12905,13057,13215,13395,13547,13651,13755,13847,13997,14103,14197,14263,14769,14941,15071,15227,15355,15457,15521,15671,15817,15939,16043,16161,16253,16369,16435,16583,16741,17223,17403,17541,17607,17759,17909,18035,18131,18237,18329,18485,18601,18689,18759
