e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,h,e,c,b,k
1641,1799,1963,2159,2367,2525,2671,2777,2855,2987,3145,3265,3373,3485,3581,3691,3815,3929,4007,4261,4439,4567,4667,4785,4899,4977,5391,5541,5665,5777,5891,5985,6091,6213,6323,6401,6535,6695,6821,6925,7047,7137,7245,7367,7483,7563,7701,7869,7989,8103,8217,8313,8419,8499,8637,8801,8937,9043,9163,9253,9361,9487,9599,9679,9819,10033,10231,10411,10559,10683,10791,10873,11015,11215,11403,11501,11583,11709
1667,1831,2011,2199,2401,2573,2737,2839,2909,3063,3215,3335,3441,3545,3639,3785,3897,3993,4055,4311,4493,4623,4759,4869,4961,5033,5443,5611,5737,5845,5949,6047,6185,6293,6391,6461,6613,6767,6891,6989,7105,7195,7343,7453,7551,7619,7775,7941,8061,8175,8279,8373,8485,8553,8715,8875,9009,9109,9223,9317,9463,9569,9665,9735,9895,10083,10325,10485,10633,10753,10859,10925,11095,11267,11447,11573,11637,11787
