h,e,h,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
1989,2133,2885,3053,3197,3303,3385,3521,3677,3803,3913,3995,4153,4327,4497,4631,4733,4855,4969,5049,5185,5343,5463,5573,5687,5779,5881,5965,6099,6253,6377,6489,6603,6697,6797,6889,7017,7175,7307,7421,7529,7625,7735,7857,7971,8053
2015,2183,2917,3099,3269,3367,3441,3595,3747,3873,3983,4049,4227,4375,4549,4689,4837,4941,5039,5107,5263,5411,5535,5639,5743,5833,5951,6013,6175,6327,6451,6557,6661,6757,6871,6937,7097,7245,7379,7489,7591,7683,7833,7943,8043,8113
