e,h,e,h,h,f,c,b,k,f,f,c,g,j,d,d,d,c,b,k,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b
1245,1415,1591,1819,1985,2127,2233,2315,2461,2617,2737,2845,2961,3057,3161,3279,3403,3511,3591,3731,3951,4149,4359,4513,4633,4743,4825,4961,5119,5245,5351,5465,5561,5669,5789,5905,5985,6233,6395,6509,6611,6733,6849,6929,7119,7307,7497,7657,7809,7933,8047,8159,8255,8363,8443,8587,8787,8953,9067,9169,9293,9407,9487,9641,9797,9919,10033,10113,10249,10439,10635,10767,10869,10997,11113,11195,11563,11725,11955,12125,12283,12417,12527,12613,12757,12975,13167,13293,13397,13521,13639,13717
1301,1457,1637,1857,2029,2199,2295,2367,2533,2693,2811,2911,3015,3113,3255,3375,3487,3577,3645,3803,3999,4241,4431,4587,4709,4811,4879,5035,5195,5319,5423,5529,5621,5769,5877,5971,6039,6285,6445,6567,6713,6819,6917,6987,7195,7359,7593,7735,7887,8011,8109,8219,8311,8429,8495,8661,8837,9001,9125,9269,9381,9477,9543,9719,9871,9995,10103,10173,10329,10491,10687,10829,10975,11087,11185,11251,11617,11777,12059,12201,12361,12495,12599,12667,12831,13029,13219,13353,13501,13609,13705,13771
