e,e,e,h,e,h,e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,k,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,h,j,d,d,c,b,k,f,f,c,b,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,h,f,c,b,k,f,f,c,b,k,h,k,j,d,d,c,b
1091,1287,1321,1527,1655,1837,1983,2175,2349,2581,2771,2947,3089,3195,3282.5,3429,3587,3711,3819,3933,4031,4135,4213,4393,4571,4751,4879,5015,5125,5237,5331,5437,5559,5671,5751,5909,6073,6193,6311,6429,6525,6633,6757,6869,6947,7197,7369,7539,7695,7829,7931,8057,8175,8255,8435,8591,8713,8831,8949,9045,9151,9277,9397,9477,9989,10145,10273,10375,10497,10613,10693,10853,11009,11131,11245,11331,11477,11799,11977,12167,12313,12421,12507,12639,12795,12921,13037,13121,13265,13591,13735,13859,13965,14091,14211,14295
1145,1315,1411,1563,1741,1879,2059,2217,2419,2625,2819,3005,3161,3266.5,3339,3513,3665,3791,3899,3995,4091,4207,4273,4463,4623,4811,4933,5093,5199,5301,5401,5535,5649,5741,5815,6001,6155,6271,6387,6495,6593,6735,6847,6941,7011,7245,7445,7593,7749,7895,8039,8149,8247,8315,8515,8669,8795,8905,9015,9111,9255,9367,9471,9541,10045,10197,10333,10479,10589,10683,10753,10927,11087,11211,11319,11395,11555,11839,12027,12229,12391,12503,12575,12727,12877,13003,13113,13181,13341,13643,13789,13921,14073,14185,14285,14357
