e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,e,k,j,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,h,h,f,c,g,j,d,d,c,b,k,h,h,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,k,f,f,c,b,k,f,f,c,g,j,c,b
1087,1239,1443,1593,1823,1991,2149,2255,2333,2523,2677,2801,2909,3025,3119,3223,3339,3449,3523,3713,3901,4063,4193,4295,4417,4535,4615,4873,5063,5287,5415,5533,5639,5757,5851,5959,6037,6159,6313,6439,6549,6663,6757,6867,6985,7101,7183,7337,7495,7619,7851,8015,8161,8269,8383,8479,8585,8705,8823,8901,9063,9255,9497,9627,9733,9849,9945,10051,10131,10287,10453,10573,10683,10799,10893,10997,11121,11237,11319,11713,11903,12033,12161,12261,12381,12499,12579,12721,12875,12997,13105,13223,13319,13425,13503,13633,13989,14139,14263,14373,14459,14607,14779,14899,15005,15121,15215,15325,15407
1117,1287,1477,1645,1863,2029,2211,2311,2381,2597,2751,2867,2969,3083,3173,3315,3417,3505,3575,3785,3947,4111,4247,4387,4501,4593,4663,4919,5187,5323,5491,5607,5703,5815,5903,6019,6089,6237,6385,6513,6619,6723,6815,6965,7073,7167,7233,7413,7569,7691,7901,8061,8233,8335,8445,8539,8685,8795,8889,8955,9141,9303,9541,9701,9803,9909,9999,10115,10181,10361,10525,10651,10751,10861,10949,11095,11213,11303,11373,11757,11945,12077,12217,12363,12469,12565,12629,12793,12947,13075,13175,13283,13377,13489,13559,13709,14057,14215,14337,14439,14511,14683,14855,14973,15075,15183,15275,15395,15463
