h,e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,e,h,h,f,c,b,k,f,h,e,h,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,h,h,e,h,f,c,b,k,f
1767,1973,2161,2309,2671,2901,3067,3229,3327,3407,3585,3739,3863,3971,4089,4183,4289,4411,4527,4603,4811,4995,5139,5593,5755,5905,6011,6091,6219,6369,6761,6943,7077,7215,7329,7441,7535,7639,7719,7845,7999,8127,8241,8353,8447,8555,8671,8783,8863,9343,9511,9617,9743,9853,9939,10587,10753,10919,11047,11173,11277,11359,11483,11631
1793,2033,2199,2367,2709,2933,3113,3299,3395,3469,3663,3811,3935,4039,4151,4243,4391,4499,4591,4663,4863,5053,5209,5651,5809,5981,6083,6149,6299,6447,6817,7003,7135,7293,7397,7501,7593,7703,7767,7919,8071,8201,8305,8411,8509,8651,8757,8845,8911,9375,9547,9667,9821,9927,9991,10633,10803,10975,11093,11249,11353,11423,11567,11709
