e,e,h,e,h,h,h,f,c,b,k,f,f,c,b,k,h,h,f,c,g,j,c,b,k,f,f,c,b,k,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,e,k,f,f,c,b
469,1083,1261,1429,1657,1993,2151,2313,2421,2507,2653,2807,2929,3039,3121,3251,3459,3631,3781,3889,4007,4101,4209,4293,4443,4593,4715,4825,4909,5035,5195,5309,5427,5521,5639,5749,5863,5945,6095,6245,6373,6481,6599,6695,6801,6885,7047,7195,7323,7437,7557,7655,7763,7885,7999,8081,8211,8471,8635,8793,8945,9059,9143
513,1137,1293,1477,1693,2029,2193,2387,2489,2561,2729,2881,2999,3105,3175,3327,3503,3679,3857,3959,4065,4159,4275,4349,4519,4671,4791,4895,4959,5111,5271,5375,5483,5579,5725,5837,5931,5999,6171,6319,6449,6551,6663,6757,6871,6939,7115,7267,7397,7505,7617,7711,7861,7977,8071,8137,8289,8577,8713,8869,9027,9129,9199
