e,h,e,h,h,h,h,e,h,f,c,b,h,h,f,f,c,g,j,c,b,h,e,h,f,c,b,k,f,f,c,b,h,h,h,j,d,d,c,b,k,h,h,e,k,f,f,c,g,j,c,b,k,f,f,c,e,k,f,f,c,g,j,d,d,c,b,h,h,f,f,c,b,k,f,h,h,h,f,c,b,k,h,h,j,d,d,c,b,h,h,e,c,b,h
1979,2203,2367,2891,3085,3319,3501,3781,4087,4225,4327,4407,4727,4935,5059,5181,5287,5391,5487,5595,5673,6001,6183,6317,6459,6563,6645,6779,6935,7065,7185,7261,8095,8265,8425,8543,8645,8761,8871,8951,9115,9297,9463,9643,9825,9969,10095,10199,10323,10417,10521,10601,10729,10875,10999,11109,11477,11651,11803,11929,12035,12151,12245,12353,12475,12589,12665,13011,13173,13331,13453,13559,13641,13775,13933,14237,14383,14607,14743,14845,14931,15065,15249,15397,15523,15625,15749,15861,15939,16317,16827,17019,17129,17213,18183
2011,2237,2435,2935,3117,3365,3551,3917,4135,4297,4397,4465,4781,4977,5131,5257,5355,5451,5545,5661,5723,6051,6241,6365,6531,6635,6701,6857,7007,7139,7249,7319,8135,8319,8473,8601,8739,8843,8939,9003,9189,9345,9521,9763,9903,10045,10169,10267,10383,10477,10589,10659,10807,10949,11077,11181,11603,11727,11879,12005,12107,12213,12303,12451,12563,12655,12723,13063,13227,13407,13529,13631,13701,13855,14007,14287,14437,14659,14819,14923,14989,15143,15301,15453,15585,15725,15835,15935,15999,16369,16877,17067,17199,17261,18213
