h,e,e,h,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,h,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1989,2155,2355,2523,2747,2947,3131,3265,3369,3451,3599,3765,3913,4025,4133,4231,4337,4461,4575,4655,4825,5007,5129,5233,5355,5471,5553,5685,5841,5971,6087,6205,6301,6409,6493,6617,6767,6895,7007,7127,7223,7333,7459,7575,7655,7817,7977,8105,8211,8329,8421,8529,8653,8765,8849,8997,9163,9295,9405,9525,9621,9729,9853,9967,10053,10177,10377,10577,10699,10825,10951,11061,11147,11271,11509,11677,11809,11915,12039,12159,12239,12385,12549,12681,12803,12887,13031,13217,13443,13631,13773,13921,14047,14163,14251,14375,14537,14667,14781,14897,14995,15105,15231,15351,15433
2025,2207,2407,2557,2777,2997,3179,3341,3439,3511,3679,3841,3987,4091,4191,4287,4433,4547,4639,4711,4875,5055,5185,5329,5443,5539,5605,5759,5917,6045,6153,6261,6355,6469,6519,6695,6843,6973,7073,7181,7289,7435,7547,7643,7715,7893,8051,8179,8279,8385,8481,8625,8739,8833,8903,9073,9237,9371,9477,9585,9687,9833,9941,10033,10099,10253,10421,10619,10777,10905,11029,11127,11195,11351,11559,11731,11871,12019,12131,12225,12295,12463,12627,12757,12867,12941,13107,13263,13489,13675,13821,14003,14127,14237,14305,14455,14615,14745,14853,14961,15059,15205,15319,15419,15483
