e,e,e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,h,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,h,k,j,d,d,c,b,k,f,f,c,b,k,h,h,h,j,d,d,c,b
781,1097,1641,1809,1987,2173,2333,2493,2633,2755,2861,2941,3071,3233,3353,3465,3585,3675,3781,3863,3987,4139,4261,4371,4483,4579,4685,4767,4891,5091,5251,5373,5473,5597,5709,5791,5929,6081,6205,6313,6397,6523,6705,6873,6997,7095,7219,7335,7419,7545,7733,7927,8069,8265,8455,8601,8721,8837,8949,9041,9147,9225,9351,9511,9633,9739,9857,9953,10057,10137,10421,10545,10667,10769,10891,11009,11095,11231,11385,11521,11631,11713,11839,12027,12219,12391,12513,12617,12735,12855,12937
881,1149,1693,1837,2025,2203,2387,2545,2671,2823,2925,2991,3145,3303,3427,3527,3637,3729,3841,3907,4055,4211,4335,4437,4543,4635,4749,4819,4965,5135,5303,5427,5573,5683,5775,5837,5999,6153,6281,6379,6447,6597,6753,6923,7047,7197,7307,7399,7469,7621,7779,7973,8123,8381,8523,8675,8795,8901,9005,9097,9209,9277,9427,9585,9709,9805,9915,10011,10125,10193,10471,10597,10723,10869,10979,11073,11143,11305,11459,11597,11695,11761,11915,12075,12273,12445,12575,12713,12825,12921,12989
