f,c,g,j,c,b,k,h,e,k,h,e,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,e,k,f,f,c,b,k,h,h,h,j,d,d,c,b,k,f,f,c,b,h,c,b,k,h,f,f,c,b
17,127,245,343,449,529,719,1567,1767,1955,2123,2335,2519,2681,2803,2911,2999,3125,3281,3409,3513,3629,3725,3831,3911,4055,4591,4777,4935,5087,5205,5309,5395,5523,5705,5873,6073,6191,6293,6417,6537,6617,6773,6931,7051,7159,7245,7549,7823,7909,8043,8237,8371,8495,8609,8693
95,199,305,403,515,585,791,1601,1863,2029,2175,2423,2593,2755,2877,2981,3053,3201,3357,3481,3581,3691,3781,3893,3963,4129,4637,4867,5003,5157,5279,5383,5447,5603,5755,5925,6125,6249,6397,6509,6601,6669,6849,7007,7125,7223,7293,7591,7893,7959,8119,8287,8449,8571,8679,8747
