h,f,c,b,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,h,e,c,b,k,f,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,h,f,f,c,b,k,f,f,c,b,k,h,k,j,d,d,c,b
1833,1995,2119,2193,2471,2633,2735,2815,3035,3201,3327,3435,3551,3643,3749,3869,3983,4063,4211,4379,4507,4615,4727,4823,4929,5053,5167,5247,5383,5573,5771,5977,6115,6221,6341,6435,6543,6667,6781,6859,7311,7493,7607,7687,7833,7983,8109,8231,8339,8455,8545,8653,8775,8889,8971,9101,9281,9415,9525,9641,9739,9847,9965,10083,10163,10313,10507,10701,10885,11041,11165,11279,11361,11529,11719,11857,11981,12093,12177,12313,12481,12607,12723,12809,12943,13207,13373,13497,13601,13723,13839,13923
1875,2067,2179,2243,2515,2703,2801,2865,3105,3271,3397,3499,3607,3699,3839,3957,4045,4111,4283,4451,4581,4681,4787,4881,5025,5141,5231,5295,5457,5615,5863,6017,6189,6287,6399,6491,6641,6755,6847,6915,7365,7543,7679,7745,7911,8059,8185,8307,8409,8513,8607,8753,8869,8961,9029,9179,9357,9489,9597,9705,9801,9947,10051,10149,10215,10391,10561,10819,10963,11115,11239,11351,11419,11607,11767,11937,12061,12161,12233,12395,12557,12687,12801,12867,13029,13259,13429,13559,13701,13813,13911,13979
