e,h,e,e,h,h,h,k,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,j,d,d,c,b,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,h,e,j,d,d,c,b,h,e,k,f,f,c,g,j,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b
1973,2155,2295,2475,3057,3221,3509,3685,3855,4019,4199,4351,4449,4531,4723,4873,4993,5099,5215,5307,5411,5495,5619,5771,5897,6003,6119,6213,6317,6437,6551,6629,6759,6955,7153,7319,7433,7535,7655,7769,7849,8321,8491,8631,8765,8871,8987,9077,9183,9305,9415,9493,9619,9773,9897,10003,10119,10215,10317,10401,10531,10687,10809,10919,11035,11129,11237,11319,11445,11611,11731,11843,11957,12051,12157,12239,12371,12569,12755,12923,13107,13295,13403,13527,13645,13727,14049,14231,14407,14559,14683,14801,14917,15011,15121,15201,15373,15569,15769,15925,16091,16217,16335,16449,16545,16653,16769,16887,16967
2041,2193,2355,2543,3093,3269,3543,3723,3917,4079,4245,4419,4513,4583,4797,4943,5067,5169,5273,5367,5479,5545,5695,5847,5969,6069,6177,6269,6415,6519,6617,6683,6837,7003,7203,7369,7493,7635,7743,7839,7909,8371,8545,8681,8843,8945,9047,9139,9279,9391,9479,9549,9695,9851,9973,10071,10179,10273,10389,10457,10609,10763,10887,10997,11095,11193,11305,11377,11525,11687,11807,11915,12015,12109,12227,12295,12449,12621,12807,12975,13249,13357,13507,13615,13715,13785,14103,14347,14485,14635,14763,14871,14979,15075,15191,15261,15451,15619,15875,16003,16169,16297,16407,16511,16605,16749,16859,16957,17023
