e,h,h,h,h,h,f,c,g,j,d,d,c,b,h,f,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,e,e,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,f
55,535,1063,1267,1633,1829,1987,2091,2213,2305,2413,2535,2647,2723,3197,3351,3763,3927,4033,4119,4257,4417,4543,4649,4757,4851,4959,5039,5163,5325,5455,5561,5679,5775,5883,6007,6121,6201,6979,7181,7349,7497,7635,7747,7857,7953,8059,8177,8295,8373,8507,8693,8817,8927,9043,9139,9247,9373,9481,9563,9727,9915,10115,10275,10429,10561,10679,10765,10891,11043
131,563,1097,1301,1669,1875,2059,2159,2271,2367,2511,2621,2711,2773,3247,3427,3813,4001,4105,4177,4333,4491,4617,4717,4815,4913,5023,5095,5245,5403,5533,5639,5743,5837,5985,6097,6189,6259,7055,7237,7421,7551,7715,7813,7915,8011,8157,8265,8361,8433,8587,8769,8895,8995,9103,9201,9347,9459,9551,9623,9807,9967,10215,10355,10509,10639,10747,10815,10967,11121
