e,h,e,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k
1671,1857,1991,2177,2365,2571,2745,2919,3059,3163,3241,3371,3521,3647,3757,3873,3965,4071,4193,4307,4387,4561,4719,4843,4947,5025,5155,5359,5537,5707,5841,5949,6059,6153,6259,6343,6481,6639,6765,6871,6995,7089,7197,7317,7433,7513,7647,7813,7941,8053,8135,8275,8471,8639,8767,8865,8987,9099,9183,9341
1741,1885,2055,2217,2415,2635,2805,2965,3135,3231,3299,3447,3593,3719,3827,3933,4025,4167,4279,4373,4443,4635,4793,4919,5017,5087,5235,5413,5593,5763,5919,6015,6121,6213,6327,6397,6557,6713,6841,6943,7057,7147,7297,7399,7503,7573,7729,7889,8015,8123,8195,8355,8525,8695,8825,8969,9075,9167,9237,9417
