h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,h,e,k,f,f,c,b,k,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,e
1685,1835,1987,2129,2229,2311,2445,2587,2705,2809,2891,3017,3165,3283,3387,3501,3593,3695,3775,3899,4095,4253,4441,4601,4753,4871,4977,5065,5199,5371,5481,5571,5677,5797,5909,5991,6117,6323,6521,6687,6835,6955,7065,7177,7271,7379,7499,7615,7695,7865,8179,8371
1711,1887,2029,2199,2293,2361,2513,2659,2779,2877,2943,3087,3235,3357,3453,3559,3651,3759,3829,3969,4141,4299,4545,4673,4827,4945,5047,5111,5275,5433,5539,5629,5775,5883,5973,6047,6189,6371,6613,6761,6911,7031,7133,7237,7329,7481,7589,7681,7749,7935,8225,8467
