h,e,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,c,g,j,c,b,k,h,e,k,f,f,c,g,j,c,b,k,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b
1357,1499,1701,1837,1993,2091,2173,2329,2485,2605,2711,2799,2987,3181,3361,3495,3597,3719,3833,3913,4049,4219,4333,4425,4533,4615,4759,4961,5161,5343,5507,5627,5741,5857,5951,6055,6137,6285,6477,6655,6809,6913,6997,7123,7273,7395,7505,7617,7711,7817,7937,8057,8139
1393,1551,1749,1877,2063,2159,2223,2403,2561,2681,2783,2849,3057,3231,3415,3547,3699,3801,3897,3971,4125,4289,4397,4485,4601,4669,4835,5011,5287,5423,5581,5705,5813,5921,6007,6125,6189,6363,6527,6713,6867,6987,7053,7203,7351,7473,7583,7681,7777,7919,8029,8127,8193
