f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,k,f,c,g,j,d,d,c,b
15,127,247,343,451,573,683,765,1521,1709,1929,2073,2193,2301,2421,2517,2623,2745,2867,2945,3077,3239,3357,3475,3573,3683,3811,3923,4007
89,195,307,401,553,659,749,819,1569,1823,2005,2149,2267,2375,2479,2575,2729,2831,2931,2999,3153,3317,3429,3535,3633,3785,3899,3991,4055
