e,e,h,h,h,h,h,f,c,b,k,h,h,h,j,c,b,k,f,f,c,g,j,c,b,k,f,h,h,j,d,d,c,b,k,h,e,k,f,f,c,h,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,h,h,j,d,d,c,b
985,1337,1813,1987,2259,2445,2653,2805,2905,2987,3153,3335,3527,3703,3827,3931,4009,4141,4297,4419,4525,4641,4737,4841,4919,5043,5215,5537,5693,5829,5933,6051,6167,6245,6373,6557,6751,6905,7055,7183,7291,7625,7781,7945,8063,8165,8285,8397,8479,8631,8789,8907,9021,9103,9235,9419,9589,9713,9815,9937,10055,10135,10277,10431,10559,10669,10783,10877,10981,11059,11323,11495,11617,11717,11841,11955,12035
1023,1399,1843,2019,2291,2487,2703,2875,2973,3039,3225,3379,3575,3741,3879,3995,4059,4219,4373,4495,4597,4703,4797,4909,4977,5117,5287,5589,5747,5889,6035,6139,6233,6303,6449,6607,6857,6981,7131,7257,7359,7673,7833,7999,8121,8261,8371,8463,8535,8707,8863,8983,9095,9159,9317,9471,9645,9773,9919,10027,10125,10197,10359,10509,10637,10743,10845,10935,11049,11115,11379,11549,11681,11817,11931,12025,12093
