e,h,h,e,h,h,h,e,e,h,f,c,b,h,h,k,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b
45,197,779,931,1569,1993,2171,2373,2605,2737,2891,2995,3075,3499,3679,3879,4003,4105,4227,4341,4423,4569,4843,5007,5147,5275,5381,5497,5593,5699,5823,5939,6023,6167,6319,6449,6559,6673,6767,6871,7165,7321,7477,7603,7713,7829,7925,8025,8103,8229,8381,8511,8625,8739,8837,8941,9023,9207,9387,9571,9695,9797,9919,10041,10123,10813,10967,11133,11287,11447,11575,11683,11767,11895,12049,12169,12279,12389,12489,12595,12715,12829,12911,13049,13399,13559,13677,13781,13903,14021,14105
83,223,811,993,1597,2019,2201,2421,2647,2781,2959,3059,3125,3535,3727,3917,4055,4201,4311,4403,4469,4641,4889,5055,5223,5349,5447,5559,5647,5795,5913,6001,6073,6243,6393,6519,6629,6729,6821,6937,7255,7395,7551,7679,7781,7889,7979,8089,8159,8301,8455,8589,8697,8797,8895,9003,9077,9281,9435,9625,9757,9897,10011,10109,10175,10843,11011,11191,11349,11483,11651,11751,11813,11975,12123,12245,12347,12451,12541,12691,12807,12895,12963,13125,13449,13603,13735,13881,13991,14087,14151
